,Country Name,croissance demo,Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,unurished death cause (%),CO2 emission (ton/capita),GDP_growth (%),Political_Stability,gini index
42,Guinea-Bissau,0.023736842105263164,4.0,,4.0,3.0,62.488669162698976,0.15844152966716915,2.7072784789651303,-0.6111111111111109,41.175
43,Guyana,0.0020526315789473684,32.0,0.0,0.0,31.0,20.935623335508176,2.2973285035509945,3.110412499565929,-0.4133333333333333,45.1
44,Georgia,-0.004526315789473686,61.0,5.0,51.0,22.0,3.3107540328640126,2.061720374451277,2.3254889294237957,-0.7116666666666667,38.024
45,Haiti,0.014526315789473691,98.0,,89.0,9.0,26.879797982916024,0.2005525729075666,1.3730386427516992,-1.0427777777777778,41.1
46,Honduras,0.02010526315789474,205.0,1.0,12.0,193.0,16.9006641412094,0.8715702404642696,3.911337871791197,-0.4394444444444444,53.90666666666667
47,Hungary,-0.0027368421052631586,266.0,210.0,58.0,493.0,1.8524258093706722,5.231210382943603,2.2243285923486686,0.8177777777777778,29.875
48,Indonesia,0.012421052631578952,2323.0,0.0,1.0,2301.0,24.750375779909476,1.5132962009205007,5.107775987646686,-1.038888888888889,34.858620689655176
49,Iraq,0.02636842105263158,566.0,0.0,470.0,96.0,19.21785859089845,3.852688707153765,7.159345107217744,-2.322777777777778,29.05
50,Ireland,0.012842105263157898,128.0,93.0,99.0,110.0,6.942742198477295,9.374115258809526,5.179171761885151,1.1233333333333335,33.145454545454534
51,Iceland,0.00973684210526316,10.0,0.0,2.0,10.0,4.984950488995485,6.946503056639014,3.5035728323544366,1.3577777777777778,27.80666666666667
52,Israel,0.018263157894736842,636.0,3.0,0.0,629.0,8.843310332568198,8.405998530696634,5.225620245172029,-1.1949999999999998,39.87727272727273
53,Italy,0.003526315789473685,1173.0,183.0,97.0,1315.0,4.401349281233627,6.935887300588179,2.2699712460068446,0.48000000000000004,34.47083333333334
54,Jamaica,0.005421052631578949,152.0,1.0,31.0,128.0,11.32798447585595,3.2778894753830277,1.3637436653467334,-0.06944444444444443,42.614285714285714
55,Japan,-0.00015789473684210527,2415.0,10.0,1069.0,2215.0,12.270515230165199,9.225218960743364,3.452676254108783,1.03,33.26666666666667
56,Jordan,0.0356842105263158,275.0,10.0,64.0,210.0,13.8524659025936,2.940842256890831,4.656366343426802,-0.3966666666666667,36.15714285714286
57,Kazakhstan,0.010842105263157898,331.0,6.0,174.0,171.0,6.977264442959993,11.850727824535198,2.861290322550433,0.1527777777777778,30.321052631578947
58,Kenya,0.02536842105263159,35.0,0.0,0.0,35.0,59.96675330542918,0.27048811545882284,4.607862846568157,-1.2316666666666665,46.58
59,Kiribati,0.016842105263157898,2.0,,1.0,1.0,25.3332672328987,0.5029187160048758,1.3429499092464028,1.1781250000000003,32.4
60,Kuwait,0.03805263157894738,189.0,4.0,137.0,56.0,8.472976051840842,23.93648538097804,4.093274850740889,0.24666666666666673,
61,Lesotho,0.0019473684210526319,17.0,0.0,15.0,2.0,49.827692322390654,0.2424122839430774,4.259668560793809,0.015000000000000006,53.925000000000004
62,Latvia,-0.011210526315789476,41.0,20.0,43.0,33.0,2.7744470287072573,3.898629868939828,3.7399670761748443,0.5511111111111111,35.75
63,Lebanon,0.031210526315789477,73.0,4.0,13.0,64.0,7.14551854806416,3.8108142229161057,3.561798929012265,-1.3983333333333332,31.8
64,Liberia,0.028105263157894744,50.0,0.0,48.0,15.0,65.0819699181677,0.20359380952864725,2.2255786887261744,-1.012777777777778,35.0
65,Lithuania,-0.011578947368421057,82.0,68.0,44.0,118.0,3.0230701724418596,4.216429625239549,4.185661924082747,0.7766666666666667,35.793749999999996
66,Luxembourg,0.01726315789473684,11.0,1.0,11.0,0.0,5.21222770324997,21.559687630075576,3.687347408107278,1.4205555555555553,31.218181818181822
67,North Macedonia,0.0013157894736842111,41.0,1.0,40.0,2.0,1.9691727914673725,4.285152455161474,1.3810326440484202,-0.517222222222222,36.92
68,Madagascar,0.027210526315789487,82.0,,0.0,81.0,51.02626532443776,0.10208080362799163,1.9416516894026106,-0.28611111111111115,42.8125
69,Malaysia,0.016368421052631584,1621.0,44.0,68.0,1724.0,17.890620780426627,5.986950916317602,6.075490354629292,0.215,45.84166666666667
70,Malawi,0.025894736842105276,98.0,,0.0,130.0,60.009043776515874,0.06594294193361255,4.244364627564085,-0.03888888888888889,46.879999999999995
71,Maldives,0.03289473684210526,12.0,,12.0,,12.18285526614392,2.162081770667648,5.449867511117917,0.3472222222222221,35.074999999999996
72,Mali,0.029631578947368436,52.0,,1.0,48.0,65.23791398909367,0.13171119495873834,4.073010503106565,-0.6283333333333333,39.66
73,Morocco,0.011842105263157899,746.0,1.0,3.0,762.0,13.613376997861874,1.3793544678294187,4.467693950307178,-0.3927777777777777,39.76666666666667
74,Mauritania,0.027473684210526327,22.0,,24.0,5.0,59.051491241315325,0.606020015777458,3.4265708757494573,-0.49166666666666664,39.885714285714286
75,Mexico,0.01289473684210527,4219.0,9.0,972.0,3249.0,12.152198777673298,3.7820104451806,3.647084547122879,-0.568888888888889,49.84117647058825
76,Mongolia,0.014842105263157893,9.0,,10.0,0.0,10.130162058212257,5.066170618108126,4.5017548501206495,0.7294444444444446,33.0
77,Montenegro,0.0011538461538461542,10.0,0.0,8.0,4.0,1.9256611470647678,3.1556379111139803,2.308059053393214,0.36000000000000004,38.6
78,Mozambique,0.027263157894736854,116.0,,24.0,92.0,61.0355624062783,0.12137564454196709,4.8527650726972045,-0.02499999999999998,50.05
79,Myanmar,0.007315789473684213,1666.0,0.0,3.0,1662.0,31.2520340015101,0.23760626381254468,5.43168111126429,-1.13,34.4
80,Namibia,0.016473684210526317,28.0,12.0,29.0,11.0,50.47788929968355,1.3393875620041107,2.8111475080699964,0.7016666666666668,61.13333333333333
81,Nicaragua,0.012947368421052638,138.0,0.0,6.0,143.0,14.950698221859426,0.7243675386613753,2.7678037300163885,-0.2533333333333333,50.599999999999994
82,Niger,0.03673684210526316,21.0,0.0,3.0,19.0,66.87068607682072,0.07227566948468603,2.8015375996216623,-0.7705555555555555,37.48571428571429
83,Nigeria,0.02510526315789475,202.0,0.0,0.0,201.0,68.5584471597036,0.6950383208300669,3.681397259637397,-1.915,42.16
84,Norway,0.009000000000000001,102.0,0.0,2.0,101.0,7.349861248917275,7.711953346956937,3.031256079455334,1.276111111111111,27.03636363636364
